,importances_mean,importances_std
Total_Capacity_inz_weekMean_2,1.7870443802818621e-06,2.727399510406831e-07
Death inz_entries 60+_weekMean_2,1.704126829908995e-06,3.1508879867933014e-07
grocery_and_pharmacy_percent_change_from_baseline_weekMean_1,1.6871706401863552e-06,1.5212547571403474e-07
maskMandatories_weekMean_2,1.6810176825034997e-06,3.685711925693851e-07
"Upper secondary school, vocational schools and higher education_weekMean_0",1.6771000558936855e-06,3.776548029213823e-07
ICU_AllPatients_inz_weekMean_2,1.6236869176482941e-06,2.255614282711447e-07
Hosp inz_entries male_weekMean_1,1.6220025040429965e-06,2.474283543595625e-07
testPositvity_7dayAverage_median_1,1.5830670388018632e-06,9.987483940100808e-07
prct_P.2_weekMean_1,1.5380324932653434e-06,3.714537858487783e-07
case_inzsumTotal_weekMean_0,1.5343506625950953e-06,5.142681417115572e-07
case_inzsumTotal_weekMean_2,1.518230231333179e-06,5.395425196920439e-07
prct_B.1.617.1_weekMean_1,1.4791051440462893e-06,4.924574818016628e-07
case_inzsumTotal_weekMean_1,1.455518693821282e-06,5.216329481785718e-07
prct_P.2_weekMean_2,1.4071780159024889e-06,2.287020992296956e-07
residential_percent_change_from_baseline_7dayAverage_weekMean_2,1.3652064641711102e-06,4.6723388718502985e-07
transit_stations_percent_change_from_baseline_7dayAverage_median_1,1.3430489257298993e-06,1.5195676860608463e-07
transit_stations_percent_change_from_baseline_7dayAverage_range_0,1.338498592828516e-06,1.948563688726254e-07
prct_P.1_weekMean_1,1.3291586009719827e-06,1.812128590124576e-07
retail_and_recreation_percent_change_from_baseline_weekMean_0,1.310863101608873e-06,7.675961412330276e-07
"Upper secondary school, vocational schools and higher education_weekMean_1",1.301430526623763e-06,1.0168604346667892e-07
COVID19FullyVaccPersons per100PersonsTotal_weekMean_2,1.282971512370592e-06,4.666771908633657e-07
prct_B.1.525_weekMean_0,1.2663311815777622e-06,1.3725454129312062e-07
transit_stations_percent_change_from_baseline_weekMean_1,1.2625869227989765e-06,3.047614350325174e-07
Sport/Wellness facilities_futureWeekMean_0,1.243320610650302e-06,7.757193443150849e-07
death_inz_entries_7dayAverage_median_1,1.2197440447450896e-06,3.9276521505576065e-07
testPositvity_7dayAverage_median_0,1.1778415106688439e-06,7.529701897035523e-07
hosp_inz_entries_7dayAverage_range_1,1.1525873717352017e-06,2.3493067404065627e-07
Demonstrations_weekMean_0,1.143949354855643e-06,3.9747415292658935e-07
grocery_and_pharmacy_percent_change_from_baseline_7dayAverage_weekMean_2,1.1045822115599446e-06,2.4980670026293775e-07
prct_B.1.525_weekMean_1,1.07154236652072e-06,2.2999895539645487e-07
transit_stations_percent_change_from_baseline_7dayAverage_last_1,1.0613459062001765e-06,2.459225891236814e-07
temp_max_future_day_6,1.0555395429747524e-06,6.602186609371697e-07
4PersonHouseholds_perc,1.0419258536554589e-06,5.848253952971044e-07
test_entries_7dayAverage_weekMean_2,1.0255943058746142e-06,4.713432501556518e-07
carsPer1000inhabitants,1.0156250437043595e-06,4.1018723644597987e-07
test_entries_weekMean_2,9.957766235677663e-07,4.812319128268119e-07
prct_B.1.351_weekMean_1,9.78436984995371e-07,1.5031505686694473e-07
retail_and_recreation_percent_change_from_baseline_7dayAverage_weekMean_0,9.764662399044249e-07,9.209956070088905e-07
testPositvity_7dayAverage_last_1,9.186374151581682e-07,9.980907251058327e-07
Shops/Markets_weekMean_2,9.142207559147565e-07,2.4113156294548633e-07
case_inz_entries_7dayAverage_range_2,8.851679159965503e-07,3.3707296820098494e-07
Total_Capacity_inz_weekMean_1,8.573657249393799e-07,1.5163321194594243e-07
Total_Capacity_inz_weekMean_0,8.462763183079546e-07,1.3425776059638887e-07
hosp_inz_entries_7dayAverage_median_2,8.32176524417764e-07,1.5774477457206307e-07
Death inz_entries 40 - 59_weekMean_1,8.312243820140196e-07,1.5531831457771288e-07
testPositvity_7dayAverage_shortTrend_1,8.220194444823062e-07,1.952884688001728e-07
Hosp inz_entries 0 - 19_weekMean_0,8.074817909153224e-07,7.809957450966947e-08
clouds_weekMean_0,7.972109942342527e-07,4.826419293224503e-07
Cases inzsumTotal male_weekMean_2,7.935903678996798e-07,4.096234883855574e-07
Borders_weekMean_2,7.721672814861146e-07,1.5385900198829131e-07
hosp_inz_entries_7dayAverage_range_0,7.502555331299985e-07,1.7401150224727078e-07
Death inzsumTotal 20 - 39_weekMean_1,7.306672431869627e-07,3.3071294371082286e-07
Hosp inz_entries male_weekMean_0,7.273328228228149e-07,1.727372408672579e-07
transit_stations_percent_change_from_baseline_7dayAverage_last_0,7.23554267023337e-07,1.1062744061213181e-07
prct_B.1.526_weekMean_2,7.213097419639684e-07,1.6424382783062346e-07
test_inz_entries_weekMean_1,7.157868861328411e-07,3.2012587702437535e-07
Primary (includes kindergarten) and lower secondary school_weekMean_2,7.154516664878083e-07,3.3779529884220005e-07
case_inz_entries_7dayAverage_shortTrend_2,6.863204737236244e-07,2.486053407781684e-07
prct_B.1.526_weekMean_1,6.818783662791142e-07,8.472984383326128e-08
hosp_inz_entries_7dayAverage_last_2,6.588804096264262e-07,5.616285350961695e-08
hosp_inz_entries_weekMean_2,6.578396221326288e-07,5.609967322746553e-08
test_entries_weekMean_1,6.573654258136335e-07,2.545277045059508e-07
prct_P.1_weekMean_0,6.363354215393026e-07,8.944494682334368e-08
Death inz_entries 60+_weekMean_1,6.328508850297074e-07,8.598100171765875e-08
workplaces_percent_change_from_baseline_weekMean_1,6.312455773614233e-07,4.899117020265942e-07
Total_FreeCapacity_inz_weekMean_2,6.272913003214356e-07,1.717868961319151e-07
transit_stations_percent_change_from_baseline_7dayAverage_median_2,6.260081900991317e-07,1.9640901128970844e-07
Primary (includes kindergarten) and lower secondary school_weekMean_1,6.132086078733823e-07,1.5887540066600808e-07
workplaces_percent_change_from_baseline_7dayAverage_longtermTrend,6.006525878385133e-07,4.035919336163601e-07
Demonstrations_weekMean_2,5.795800496103277e-07,3.66787930109764e-07
testPositvity_7dayAverage_range_1,5.731012074733496e-07,1.69744652359457e-07
Death inzsumTotal 20 - 39_weekMean_0,5.639954896849084e-07,4.36836360678266e-07
Death inz_entries female_weekMean_2,5.617597193087812e-07,1.149400217815543e-07
workplaces_percent_change_from_baseline_7dayAverage_shortTrend_1,5.57844555934225e-07,3.0055035762619203e-07
transit_stations_percent_change_from_baseline_7dayAverage_shortTrend_2,5.527985949982643e-07,2.409162488952406e-07
Death inz_entries male_weekMean_0,5.518518968151151e-07,1.1811444427589527e-07
hosp_inz_entries_7dayAverage_range_2,5.49590129108983e-07,2.2397140763125573e-07
ICU_Covid19Patients_inz_weekMean_0,5.315564073260417e-07,9.882871174652661e-08
ICU_AllPatients_inz_weekMean_1,5.272957163729312e-07,2.803022088307488e-07
grocery_and_pharmacy_percent_change_from_baseline_weekMean_0,4.961522643747449e-07,3.741819457056789e-07
Death inz_entries male_weekMean_1,4.896537791134001e-07,8.56589886418725e-08
Cases inzsumTotal 20 - 39_weekMean_2,4.7061662628961836e-07,3.5769182580262097e-07
Penalties_weekMean_2,4.610650158534376e-07,2.9817986597638406e-07
death_inz_entries_7dayAverage_last_1,4.4931626233526633e-07,1.5480942632142645e-07
transit_stations_percent_change_from_baseline_weekMean_0,4.4919793290706597e-07,2.3152180174283547e-07
death_inz_entries_weekMean_1,4.485281211928779e-07,1.545437188792648e-07
case_inz_entries_7dayAverage_median_2,4.3987433646986483e-07,9.72990425949989e-08
death_inz_entries_7dayAverage_last_2,4.2532356656743274e-07,1.0519611585983219e-07
death_inz_entries_weekMean_2,4.2461366844524526e-07,1.0500314320582536e-07
Universities and other educational establishments_weekMean_0,4.0358562534545306e-07,2.2119988071983278e-07
case_entries_weekMean_1,4.019439182773336e-07,9.089171652972462e-08
prct_B.1.525_weekMean_2,4.0088424075018347e-07,1.342253167747217e-07
workplaces_percent_change_from_baseline_7dayAverage_last_1,3.98976959267998e-07,8.750184024922057e-07
COVID19FullyVaccPersons per100PersonsTotal_weekMean_1,3.8590417758149494e-07,2.3224127056793956e-07
grocery_and_pharmacy_percent_change_from_baseline_7dayAverage_weekMean_0,3.8583831349510954e-07,8.888106664665988e-07
prct_B.1.351_weekMean_0,3.85237331163241e-07,5.686986953874506e-08
Cases inz_entries 40 - 59_weekMean_0,3.704594729362319e-07,1.1488101309593289e-07
test_entries_7dayAverage_weekMean_1,3.655902216727954e-07,1.2773369552854004e-07
Hosp inz_entries male_weekMean_2,3.649170838065149e-07,5.632988187193477e-07
testPositvity_7dayAverage_median_2,3.4085355041359263e-07,1.0886171629217538e-06
Cases inz_entries 60+_weekMean_1,3.3289375476477315e-07,1.1833301473521775e-07
median_R_mean_weekMean_1,3.300471334263203e-07,1.1676211938737094e-07
workplaces_percent_change_from_baseline_7dayAverage_median_0,3.257909767088269e-07,2.9066405172517907e-07
case_inz_entries_7dayAverage_last_1,3.175645868351432e-07,3.539608680671918e-08
case_inz_entries_weekMean_1,3.1748857170922193e-07,3.5438548838801625e-08
case_entries_weekMean_0,3.0990762791697264e-07,5.065583997687867e-08
transit_stations_percent_change_from_baseline_weekMean_2,3.061624905319931e-07,1.8617807164888797e-07
testPositvity_7dayAverage_last_0,2.939548378563892e-07,6.606298700770241e-07
prct_B.1.617.1_weekMean_0,2.9174690046958245e-07,4.6512391218506836e-07
Death inz_entries 60+_weekMean_0,2.89792629244983e-07,2.0033548085443556e-07
testPositvity_7dayAverage_shortTrend_0,2.889289907267089e-07,3.269621960485615e-08
Cases inzsumTotal 40 - 59_weekMean_1,2.8884553882689136e-07,3.398835976389836e-07
Mountain railways_weekMean_2,2.865786249987541e-07,5.795597118078281e-07
death_inz_entries_7dayAverage_shortTrend_0,2.864770832247633e-07,4.6369378095822784e-08
Cases inz_entries 40 - 59_weekMean_1,2.7652040395047523e-07,5.004858926500642e-08
testPositvity_7dayAverage_range_2,2.684919201238973e-07,8.397128089757194e-07
death_inz_entries_7dayAverage_shortTrend_2,2.681191400637131e-07,3.172721862299151e-08
transit_stations_percent_change_from_baseline_7dayAverage_median_0,2.6564802874048684e-07,2.0856897588999373e-07
ICU_FreeCapacity_inz_weekMean_1,2.6459539575231227e-07,1.5058536215522143e-06
transit_stations_percent_change_from_baseline_7dayAverage_last_2,2.4593450603474944e-07,2.0222437497078955e-07
Hosp inz_entries 0 - 19_weekMean_1,2.428684214184941e-07,7.915182845348978e-08
Cases inzsumTotal 40 - 59_weekMean_0,2.391626644186219e-07,3.081035955947118e-07
Cases inz_entries female_weekMean_1,2.1541122450035275e-07,2.767744465532995e-08
Cases inz_entries 20 - 39_weekMean_0,2.0556410428162075e-07,7.736879297503834e-08
Mountain railways_weekMean_1,1.8967178115503626e-07,7.049855501737433e-07
Cases inz_entries female_weekMean_0,1.8434783549238845e-07,2.1342465381920743e-08
Death inz_entries 0 - 19_weekMean_0,1.8190461991607257e-07,5.856718734847201e-08
case_inz_entries_7dayAverage_median_1,1.7385464161632276e-07,3.677885900419257e-08
Death inz_entries 20 - 39_weekMean_2,1.3920536259754214e-07,4.10294667786415e-08
Cases inz_entries 60+_weekMean_0,1.3333755969555104e-07,1.0677609878586645e-07
median_R_mean_weekMean_2,1.262554602642161e-07,1.900438252408277e-07
Cases inz_entries male_weekMean_0,1.0035804038578591e-07,7.258859809525776e-08
Total_Covid19Patients_inz_weekMean_2,9.092858759055227e-08,1.0443433398499206e-07
Hosp inz_entries 60+_weekMean_0,8.643216345546531e-08,1.5605669473516145e-07
hosp_inz_entries_7dayAverage_last_1,8.152834845155232e-08,5.40519829093579e-08
hosp_inz_entries_weekMean_1,8.107712140901623e-08,5.3979443681202414e-08
Cases inzsumTotal female_weekMean_1,7.374345819459536e-08,1.530199046246013e-07
Hosp inz_entries 0 - 19_weekMean_2,7.156765269176936e-08,3.764586779117622e-08
prct_B.1.617.2_weekMean_2,6.495714513956706e-08,2.1716567252003726e-07
Cases inzsumTotal female_weekMean_0,5.92890682547028e-08,1.3313194842355544e-07
hosp_inz_entries_7dayAverage_shortTrend_2,4.470596250616063e-08,5.7868238667034153e-08
grocery_and_pharmacy_percent_change_from_baseline_weekMean_2,2.68142140718566e-08,2.0167507628275148e-07
test_inz_entries_7dayAverage_weekMean_1,2.651395040215599e-08,2.14638542256756e-07
Death inz_entries 40 - 59_weekMean_0,2.5940455892917505e-08,1.3248610029558155e-07
case_inz_entries_weekMean_0,2.5809025818650072e-08,3.9116850517275865e-08
case_inz_entries_7dayAverage_last_0,2.567323409215401e-08,3.912726202550539e-08
case_inz_entries_7dayAverage_shortTrend_0,2.24366528044518e-08,1.54513592095702e-08
Religious services_futureWeekMean_0,1.9855558811942947e-08,4.1994847370440453e-07
hosp_inz_entries_7dayAverage_shortTrend_1,1.8901486612443905e-08,4.9723672716421536e-08
hosp_inz_entries_7dayAverage_shortTrend_0,1.6534913737905124e-08,6.577054781968438e-08
death_inz_entries_7dayAverage_shortTrend_1,1.4921588788034158e-08,5.8566675704417e-08
Death inz_entries 20 - 39_weekMean_1,1.409712669280319e-08,6.039851974154587e-10
case_entries_weekMean_2,1.4043547403815895e-08,7.43703930789717e-08
hosp_inz_entries_7dayAverage_longtermTrend,1.3524871645830168e-08,1.078379332728511e-08
death_inz_entries_weekMean_0,1.3123050512757473e-08,1.045790709202229e-07
death_inz_entries_7dayAverage_last_0,1.3122579830887258e-08,1.0458377508677377e-07
Death inz_entries 0 - 19_weekMean_1,7.070818755267223e-09,2.8003128418331895e-08
Death inz_entries 0 - 19_weekMean_2,-4.483715724439355e-10,8.799642155608917e-10
Death inz_entries 20 - 39_weekMean_0,-1.1129430282095024e-09,1.5947030115881252e-09
hosp_inz_entries_7dayAverage_median_1,-3.0661630632915217e-09,4.7107185400408444e-08
Total_FreeCapacity_inz_weekMean_0,-1.1013956323835047e-08,2.3822104139159e-07
case_inz_entries_7dayAverage_median_0,-1.3676839140147786e-08,3.848052705906066e-08
maxNeighborIncidence_weekMean_2,-1.3732363914249237e-08,4.875796970662861e-07
prct_B.1.617.2_weekMean_0,-1.7104987958807202e-08,5.3515370452164066e-08
Total_Covid19Patients_inz_weekMean_0,-2.5818564971754646e-08,3.9889030522043417e-07
case_inz_entries_7dayAverage_shortTrend_1,-3.330546652154272e-08,2.2528697074239095e-08
prct_B.1.617.2_weekMean_1,-3.6671093095268745e-08,2.344601240449573e-07
death_inz_entries_7dayAverage_median_2,-3.78864251248355e-08,5.8121969187807476e-08
Demonstrations_weekMean_1,-5.2965582521659685e-08,2.5760754173036153e-07
Hosp inz_entries 60+_weekMean_1,-5.981560440041986e-08,2.1159371481027778e-07
precipitation_future_day_6,-7.784645502382278e-08,1.913547624622642e-08
hosp_inz_entries_weekMean_0,-8.248719022764702e-08,2.2989239373517603e-08
hosp_inz_entries_7dayAverage_last_0,-8.256767683157383e-08,2.2971500385845813e-08
meanNeighborIncidence_weekMean_1,-8.996353281359726e-08,2.524884067708534e-07
hosp_inz_entries_7dayAverage_median_0,-1.0560650436208102e-07,2.3534709256770152e-08
Hosp inzsumTotal male_weekMean_1,-1.0764987566926586e-07,1.3148836067702152e-07
kofStrigency_weekMean_0,-1.2136375747444273e-07,1.286689830559673e-06
case_inz_entries_7dayAverage_range_0,-1.404269076281644e-07,1.7072366663834422e-07
Universities and other educational establishments_weekMean_1,-1.424792375807416e-07,4.6350011359248306e-07
Death inz_entries female_weekMean_0,-1.4730405647341796e-07,1.2707465277137326e-07
