identifier,de,fr,it,rm,en,date,version,type
tests-summary,"In der Berichtswoche wurden 183 614 Tests (72,4 % PCR und 27,6 % Antigen-Schnelltests) gemeldet. Dies waren etwa gleich viele Tests wie in der Vorwoche (- 0,6 %).","Pendant la semaine sous revue, 183 614 tests (dont 72,4 % de tests PCR et 27,6 % de tests rapides antigéniques) ont été déclarés, soit un nombre similaire à la semaine précédente (- 0,6 %). Dans 6 cantons, le nombre de tests déclarés a augmenté d’au moins 10 % pendant la semaine sous revue par rapport à la semaine précédente.","Nella settimana in rassegna sono stati dichiarati 183 614 test (di cui il 72,4 % test PCR e il 27,6 % test antigenici rapidi), ossia un numero pressoché uguale (- 0,6 %) rispetto alla settimana precedente.","In der Berichtswoche wurden 183 614 Tests (72,4 % PCR und 27,6 % Antigen-Schnelltests) gemeldet. Dies waren etwa gleich viele Tests wie in der Vorwoche (- 0,6 %).","In der Berichtswoche wurden 183 614 Tests (72,4 % PCR und 27,6 % Antigen-Schnelltests) gemeldet. Dies waren etwa gleich viele Tests wie in der Vorwoche (- 0,6 %).",202117,2021-05-05_07-43-29,COVID19WeeklyReportText
tests-geography,"In 6 Kantonen hat die Anzahl gemeldeter Tests in der Berichtswoche im Vergleich zur Vorwoche um mindestens 10 % zugenommen. In 17 Kantonen und im FL veränderte sie sich im Betrag relativ wenig (weniger als ± 10 %). In 3 Kantonen (OW, ZG, ZH) nahm die Anzahl gemeldeter Test um mehr als 10 % ab. Die Inzidenzrate gemeldeter Tests lag in den Kantonen und im FL zwischen 1 145 pro 100 000 Einw. und Woche in AR und 11 114 in UR. Pro Person sind mehrere positive und negative Tests möglich.","Dans 17 cantons et au Liechtenstein, le nombre des tests a peu varié (moins de ± 10 %). Le nombre de tests déclarés a diminué de plus de 10 % dans 3 cantons (OW, ZG, ZH). Dans les cantons et au Liechtenstein, le taux d’incidence des tests déclarés a varié, pour 100 000 habitants et par semaine, entre 1145 pour AR et 11 114 pour UR. Plusieurs tests positifs ou négatifs sont possibles chez la même personne.","In 6 Cantoni il numero di test dichiarati nella settimana in rassegna è aumentato almeno del 10 % rispetto alla settimana precedente. In 17 Cantoni e in FL il dato è variato relativamente poco (meno di ± 10 %). In 3 Cantoni (OW, ZG, ZH) è diminuito di più del 10 %. Il tasso d’incidenza dei test dichiarati nei Cantoni e in FL ha oscillato tra i 1 145 alla settimana per 100 000 abitanti in AR e gli 11 114 in UR. Per la stessa persona possono risultare positivi o negativi più test.","In 6 Kantonen hat die Anzahl gemeldeter Tests in der Berichtswoche im Vergleich zur Vorwoche um mindestens 10 % zugenommen. In 17 Kantonen und im FL veränderte sie sich im Betrag relativ wenig (weniger als ± 10 %). In 3 Kantonen (OW, ZG, ZH) nahm die Anzahl gemeldeter Test um mehr als 10 % ab. Die Inzidenzrate gemeldeter Tests lag in den Kantonen und im FL zwischen 1 145 pro 100 000 Einw. und Woche in AR und 11 114 in UR. Pro Person sind mehrere positive und negative Tests möglich.","In 6 Kantonen hat die Anzahl gemeldeter Tests in der Berichtswoche im Vergleich zur Vorwoche um mindestens 10 % zugenommen. In 17 Kantonen und im FL veränderte sie sich im Betrag relativ wenig (weniger als ± 10 %). In 3 Kantonen (OW, ZG, ZH) nahm die Anzahl gemeldeter Test um mehr als 10 % ab. Die Inzidenzrate gemeldeter Tests lag in den Kantonen und im FL zwischen 1 145 pro 100 000 Einw. und Woche in AR und 11 114 in UR. Pro Person sind mehrere positive und negative Tests möglich.",202117,2021-05-05_07-43-29,COVID19WeeklyReportText
tests-share_of_positive_tests,"Schweizweit (inkl. FL) ist der Anteil positiver PCR-Tests in der Berichtswoche im Vergleich zur Vorwoche von 9,6 % auf 8,3 % gesunken, ähnlich sank der Anteil positiver Antigen-Schnelltests von 5,6 % auf 4,5 %. Der Anteil positiver PCR-Tests pro Kanton lag in der Berichtswoche in 15 Kantonen und dem FL unter 10 %. In allen Kantonen und im FL lag der Anteil positiver Antigen-Schnelltests unter 10 %.","En Suisse et au Liechtenstein, la proportion de résultats positifs a diminué par rapport à la semaine précédente pour les tests PCR (de 9,6 % à 8,3 %) et pour les tests rapides antigéniques (de 5,6 % à 4,5 %). La proportion de tests PCR positifs par canton était inférieure à 10 % dans 15 cantons et au Liechtenstein durant la semaine sous revue. Celle des tests rapides antigéniques était inférieure à 10 % dans tous les cantons et au Liechtenstein.","In tutta la Svizzera (incl. FL) la percentuale di test PCR positivi nella settimana in rassegna è scesa dal 9,6 % all’8,3 % rispetto alla settimana precedente, così come quella dei test antigenici rapidi (dal 5,6 % al 4,5 %). Nella settimana in rassegna, la percentuale di test PCR positivi era al di sotto del 10 % in 15 Cantoni e in FL. In tutti i Cantoni e in FL, quella dei test antigenici rapidi positivi era al di sotto del 10 %.","Schweizweit (inkl. FL) ist der Anteil positiver PCR-Tests in der Berichtswoche im Vergleich zur Vorwoche von 9,6 % auf 8,3 % gesunken, ähnlich sank der Anteil positiver Antigen-Schnelltests von 5,6 % auf 4,5 %. Der Anteil positiver PCR-Tests pro Kanton lag in der Berichtswoche in 15 Kantonen und dem FL unter 10 %. In allen Kantonen und im FL lag der Anteil positiver Antigen-Schnelltests unter 10 %.","Schweizweit (inkl. FL) ist der Anteil positiver PCR-Tests in der Berichtswoche im Vergleich zur Vorwoche von 9,6 % auf 8,3 % gesunken, ähnlich sank der Anteil positiver Antigen-Schnelltests von 5,6 % auf 4,5 %. Der Anteil positiver PCR-Tests pro Kanton lag in der Berichtswoche in 15 Kantonen und dem FL unter 10 %. In allen Kantonen und im FL lag der Anteil positiver Antigen-Schnelltests unter 10 %.",202117,2021-05-05_07-43-29,COVID19WeeklyReportText
tests-demography,In der Berichtswoche wurden in der Altersklasse zwischen 30 und 39 Jahren über 30 000 Tests gemeldet. Dies beinhaltet PCR-Tests sowie Antigen-Schnelltests. Bezogen auf die Bevölkerungszahl wurden in den Altersklassen zwischen 20 und 39 Jahren mit jeweils über 2500 pro 100 000 Einw. die meisten Tests gemeldet. Im Vergleich zur Vorwoche hat sich die Anzahl der gemeldeten Tests in allen Altersklassen um weniger als ±10 % verändert. Das Medianalter der getesteten Personen lag bei 40 Jahren. Seit Woche 09/2021 bewegt sich das Medianalter zwischen 38 und 40 Jahren. Die Inzidenzrate der Tests unterschied sich in der Berichtswoche und der Vorwoche wenig zwischen den Geschlechtern.,"Durant la semaine sous revue, plus de 30 000 tests ont été déclarés pour les tranches d’âge entre 30 et 39 ans). Ce chiffre comprend les tests PCR et les tests rapides antigéniques. Par rapport à la population, les classes d’âge de 20 à 39 ans ont été les plus concernées avec, dans chaque groupe, plus de 2 500 tests déclarés pour 100 000 habitants. En comparaison avec la semaine précédente, le nombre de tests déclarés est resté stable dans toutes les classes d’âge (moins de ± 10 %). L’âge médian des personnes testées était de 40 ans. Depuis la semaine 09, ce chiffre varie entre 38 et 41 ans. Il y a eu peu de différence dans le taux de dépistage entre les sexes durant la semaine sous revue ainsi que la semaine précédente.","Nella settimana in rassegna, nella fascia d’età tra i 30 e i 39 anni sono stati dichiarati oltre 30 000 test. Tale cifra comprende sia i test PCR sia i test antigenici rapidi. In rapporto all’intera popolazione, le fasce d’età tra i 20 e i 39 anni sono state quelle in cui è stato dichiarato il maggior numero di test, ciascuna con oltre 2500 test alla settimana. Rispetto alla settimana precedente, la variazione del numero di test dichiarati è stata inferiore a ± 10 % in tutte le fasce d’età. L’età mediana delle persone sottoposte a test è stata di 40 anni. Dalla settimana 09/2021 oscilla tra i 38 e i 40 anni. Nella settimana in rassegna e in quella precedente il tasso di test è stato pressoché identico tra i generi.",In der Berichtswoche wurden in der Altersklasse zwischen 30 und 39 Jahren über 30 000 Tests gemeldet. Dies beinhaltet PCR-Tests sowie Antigen-Schnelltests. Bezogen auf die Bevölkerungszahl wurden in den Altersklassen zwischen 20 und 39 Jahren mit jeweils über 2500 pro 100 000 Einw. die meisten Tests gemeldet. Im Vergleich zur Vorwoche hat sich die Anzahl der gemeldeten Tests in allen Altersklassen um weniger als ±10 % verändert. Das Medianalter der getesteten Personen lag bei 40 Jahren. Seit Woche 09/2021 bewegt sich das Medianalter zwischen 38 und 40 Jahren. Die Inzidenzrate der Tests unterschied sich in der Berichtswoche und der Vorwoche wenig zwischen den Geschlechtern.,In der Berichtswoche wurden in der Altersklasse zwischen 30 und 39 Jahren über 30 000 Tests gemeldet. Dies beinhaltet PCR-Tests sowie Antigen-Schnelltests. Bezogen auf die Bevölkerungszahl wurden in den Altersklassen zwischen 20 und 39 Jahren mit jeweils über 2500 pro 100 000 Einw. die meisten Tests gemeldet. Im Vergleich zur Vorwoche hat sich die Anzahl der gemeldeten Tests in allen Altersklassen um weniger als ±10 % verändert. Das Medianalter der getesteten Personen lag bei 40 Jahren. Seit Woche 09/2021 bewegt sich das Medianalter zwischen 38 und 40 Jahren. Die Inzidenzrate der Tests unterschied sich in der Berichtswoche und der Vorwoche wenig zwischen den Geschlechtern.,202117,2021-05-05_07-43-29,COVID19WeeklyReportText
overview-short_description,"Im Vergleich zur Vorwoche sanken in der Berichtswoche (Woche 18/2021) die Zahlen der gemeldeten Fälle, Hospitalisationen und Todesfälle, während die Zahl der gemeldeten Tests stagnierte.","En comparaison avec la semaine précédente, le nombre de cas, d’hospitalisations et de décès déclarés a diminué pendant la semaine sous revue (semaine 18/2021), alors que celui des tests déclarés a stagné.","Rispetto alla settimana precedente, nella settimana in rassegna (settimana 18/2021) il numero di casi dichiarati, ricoveri ospedalieri e decessi è sceso, mentre il numero di test dichiarati è rimasto stagnante.","Im Vergleich zur Vorwoche sanken in der Berichtswoche (Woche 18/2021) die Zahlen der gemeldeten Fälle, Hospitalisationen und Todesfälle, während die Zahl der gemeldeten Tests stagnierte.","Im Vergleich zur Vorwoche sanken in der Berichtswoche (Woche 18/2021) die Zahlen der gemeldeten Fälle, Hospitalisationen und Todesfälle, während die Zahl der gemeldeten Tests stagnierte.",202118,2021-05-12_07-47-53,COVID19WeeklyReportText
overview-cases,Für die Berichtswoche wurden insgesamt 10 317 laborbestätigte Fälle gemeldet. Somit sank die Anzahl gemeldeter Fälle von 11 918 in der Vorwoche (-13 %). Der Anteil relevanter Virusvarianten (VOC) lag bei 89 % der 200 darauf analysierten Proben. Die Inzidenz der laborbestätigten Fälle in den Kantonen und im FL lag zwischen 77 Fällen pro 100 000 Einwohnerinnen und Einwohner und Woche im FL und 343 in UR.,"Pour la semaine sous revue, un total de 10 317 cas confirmés en laboratoire a été déclaré, marquant ainsi une diminution par rapport aux 11 918 cas déclarés de la semaine précédente (-13 %). L’incidence des cas confirmés en laboratoire dans les cantons et le Liechtenstein était comprise entre 77 cas pour 100 000 habitants par semaine au Liechtenstein et 343 à UR.","Per la settimana in rassegna sono stati dichiarati complessivamente 10 317 casi confermati in laboratorio, per cui il numero di casi dichiarati è sceso rispetto agli 11 918 della settimana precedente (13 %). L’incidenza dei casi confermati in laboratorio nei Cantoni e in FL ha oscillato tra i 77 casi alla settimana per 100 000 abitanti in FL e i 343 in UR.",Für die Berichtswoche wurden insgesamt 10 317 laborbestätigte Fälle gemeldet. Somit sank die Anzahl gemeldeter Fälle von 11 918 in der Vorwoche (-13 %). Der Anteil relevanter Virusvarianten (VOC) lag bei 89 % der 200 darauf analysierten Proben. Die Inzidenz der laborbestätigten Fälle in den Kantonen und im FL lag zwischen 77 Fällen pro 100 000 Einwohnerinnen und Einwohner und Woche im FL und 343 in UR.,Für die Berichtswoche wurden insgesamt 10 317 laborbestätigte Fälle gemeldet. Somit sank die Anzahl gemeldeter Fälle von 11 918 in der Vorwoche (-13 %). Der Anteil relevanter Virusvarianten (VOC) lag bei 89 % der 200 darauf analysierten Proben. Die Inzidenz der laborbestätigten Fälle in den Kantonen und im FL lag zwischen 77 Fällen pro 100 000 Einwohnerinnen und Einwohner und Woche im FL und 343 in UR.,202118,2021-05-12_07-47-53,COVID19WeeklyReportText
overview-hospitalisations,Für die Berichtswoche wurden bisher 280 Hospitalisationen im Zusammenhang mit einer laborbestätigten COVID-19-Erkrankung gemeldet. In der Vorwoche waren es zum selben Zeitpunkt 381 gemeldete Hospitalisationen. Somit ist trotz der ausstehenden Nachmeldungen eine Abnahme der Hospitalisationen in der Berichtswoche im Vergleich zur Vorwoche zu erwarten. Die durchschnittliche Zahl der Patientinnen und Patienten mit einer COVID-19-Erkrankung auf einer Intensivpflegestation lag in der Berichtswoche bei 220 Personen im Vergleich zu 253 in der Vorwoche.,"Jusqu’ici, 280 hospitalisations en lien avec un COVID-19 confirmé en laboratoire ont été déclarées pour la semaine sous revue. La semaine précédente, au même moment, leur nombre était de 381. En dépit des déclarations tardives encore attendues, une baisse du nombre d’hospitalisations est donc attendue pour la semaine sous revue par rapport à la semaine précédente. Le nombre moyen de patients atteints du COVID-19 hospitalisés dans une unité de soins intensifs était de 220 pendant la semaine sous revue et de 253 la semaine précédente.","Per la settimana in rassegna, finora sono stati dichiarati 280 ricoveri per COVID-19 confermata in laboratorio, contro i 381 dichiarati nello stesso momento della settimana precedente. Nonostante le dichiarazioni tardive ancora attese, è quindi probabile una diminuzione del numero di ricoveri nella settimana in rassegna rispetto a quella precedente. Il numero medio di pazienti ricoverati per COVID-19 in un reparto di cure intense nella settimana in rassegna è stato di 220, contro i 253 della settimana precedente.",Für die Berichtswoche wurden bisher 280 Hospitalisationen im Zusammenhang mit einer laborbestätigten COVID-19-Erkrankung gemeldet. In der Vorwoche waren es zum selben Zeitpunkt 381 gemeldete Hospitalisationen. Somit ist trotz der ausstehenden Nachmeldungen eine Abnahme der Hospitalisationen in der Berichtswoche im Vergleich zur Vorwoche zu erwarten. Die durchschnittliche Zahl der Patientinnen und Patienten mit einer COVID-19-Erkrankung auf einer Intensivpflegestation lag in der Berichtswoche bei 220 Personen im Vergleich zu 253 in der Vorwoche.,Für die Berichtswoche wurden bisher 280 Hospitalisationen im Zusammenhang mit einer laborbestätigten COVID-19-Erkrankung gemeldet. In der Vorwoche waren es zum selben Zeitpunkt 381 gemeldete Hospitalisationen. Somit ist trotz der ausstehenden Nachmeldungen eine Abnahme der Hospitalisationen in der Berichtswoche im Vergleich zur Vorwoche zu erwarten. Die durchschnittliche Zahl der Patientinnen und Patienten mit einer COVID-19-Erkrankung auf einer Intensivpflegestation lag in der Berichtswoche bei 220 Personen im Vergleich zu 253 in der Vorwoche.,202118,2021-05-12_07-47-53,COVID19WeeklyReportText
overview-deaths,Für die Berichtswoche wurden dem BAG bisher 35 Todesfälle im Zusammenhang mit einer laborbestätigten COVID-19-Erkrankung gemeldet. In der Vorwoche waren es zum selben Zeitpunkt 60 gemeldete Todesfälle. Somit ist trotz der ausstehenden Nachmeldungen eine Abnahme der Todesfälle in der Berichtswoche im Vergleich zur Vorwoche zu erwarten.,"Pour la semaine sous revue, 35 décès en lien avec un COVID-19 confirmé en laboratoire ont été enregistrés jusqu’ici. La semaine précédente au même moment, leur nombre était de 60. En dépit des déclarations tardives encore attendues, une baisse du nombre des décès est donc attendue pour la semaine sous revue par rapport à la semaine précédente.","Per la settimana in rassegna, sono finora stati dichiarati all’UFSP 35 decessi in relazione a COVID-19 confermata in laboratorio. Fino allo stesso momento della settimana precedente ne sono stati dichiarati 60. Nonostante le dichiarazioni tardive ancora attese, è quindi probabile una diminuzione dei decessi nella settimana in rassegna rispetto a quella precedente.",Für die Berichtswoche wurden dem BAG bisher 35 Todesfälle im Zusammenhang mit einer laborbestätigten COVID-19-Erkrankung gemeldet. In der Vorwoche waren es zum selben Zeitpunkt 60 gemeldete Todesfälle. Somit ist trotz der ausstehenden Nachmeldungen eine Abnahme der Todesfälle in der Berichtswoche im Vergleich zur Vorwoche zu erwarten.,Für die Berichtswoche wurden dem BAG bisher 35 Todesfälle im Zusammenhang mit einer laborbestätigten COVID-19-Erkrankung gemeldet. In der Vorwoche waren es zum selben Zeitpunkt 60 gemeldete Todesfälle. Somit ist trotz der ausstehenden Nachmeldungen eine Abnahme der Todesfälle in der Berichtswoche im Vergleich zur Vorwoche zu erwarten.,202118,2021-05-12_07-47-53,COVID19WeeklyReportText
overview-tests,"In der Berichtswoche wurden 177 142 Tests (74 % PCR und 26 % Antigen-Schnelltests) gemeldet. Im Vergleich zur Vorwoche ist die Anzahl Tests mit -3,5 % in etwa gleich geblieben. Der Anteil positiver PCR-Tests ist gesunken (von 8,3 % auf 7,2 %), ebenso der Anteil positiver Antigen-Schnelltests (von 4,5 % auf 4,1 %). Pro Person sind mehrere positive und negative Tests möglich.","Au cours de la semaine sous revue, 177 142 tests (74 % de tests PCR et 26 % de tests rapides antigéniques) ont été déclarés. Par rapport à la semaine précédente, le nombre de tests est resté stable (-3,5 %). La proportion de résultats positifs a diminué pour les tests PCR (de 8,3 % à 7,2 %) et pour les tests rapides antigéniques (de 4,5 % à 4,1 %). Plusieurs tests positifs ou négatifs sont possibles chez la même personne.","Nella settimana in rassegna sono stati dichiarati 177 142 test (74 % PCR e 26 % test antigenici rapidi), un numero che, con un -3,5 %, è rimasto pressoché uguale rispetto alla settimana precedente. La percentuale dei test PCR positivi è scesa (dall’8,3 % al 7,2 %), così come quella dei test antigenici rapidi positivi (dal 4,5 % al 4,1 %). Per la stessa persona possono risultare positivi o negativi più test.","In der Berichtswoche wurden 177 142 Tests (74 % PCR und 26 % Antigen-Schnelltests) gemeldet. Im Vergleich zur Vorwoche ist die Anzahl Tests mit -3,5 % in etwa gleich geblieben. Der Anteil positiver PCR-Tests ist gesunken (von 8,3 % auf 7,2 %), ebenso der Anteil positiver Antigen-Schnelltests (von 4,5 % auf 4,1 %). Pro Person sind mehrere positive und negative Tests möglich.","In der Berichtswoche wurden 177 142 Tests (74 % PCR und 26 % Antigen-Schnelltests) gemeldet. Im Vergleich zur Vorwoche ist die Anzahl Tests mit -3,5 % in etwa gleich geblieben. Der Anteil positiver PCR-Tests ist gesunken (von 8,3 % auf 7,2 %), ebenso der Anteil positiver Antigen-Schnelltests (von 4,5 % auf 4,1 %). Pro Person sind mehrere positive und negative Tests möglich.",202118,2021-05-12_07-47-53,COVID19WeeklyReportText
overview-contact_tracing,"Gemäss Meldungen von 24 Kantonen und dem FL befanden sich am 11.05.2021 insgesamt 12 184 Personen in Isolation und 20 136 in Quarantäne. Diese Zahlen sind im Vergleich zur Vorwoche gesunken. Die Anzahl Personen in Quarantäne nach Einreise aus einem Land mit erhöhtem Ansteckungsrisiko ist ebenfalls gesunken auf 3 816, nach Angaben von 23 Kantonen und dem FL.","Au 11 mai 2021, selon la déclaration de 24 cantons et du Liechtenstein, 12 184 personnes étaient en isolement et 20 136 en quarantaine. Ces chiffres ont baissé par rapport à ceux de la semaine précédente. Le nombre de personnes en quarantaine parce qu’elles arrivaient d’un pays à risque élevé de contamination a également diminué à 3 816, d’après les données de 23 cantons et du Liechtenstein.","Secondo le dichiarazioni di 24 Cantoni e di FL, l’11.05.2021 vi erano complessivamente 12 184 persone in isolamento e 20 136 in quarantena. Queste cifre sono scese rispetto alla settimana precedente. Il numero di persone in quarantena giunte in Svizzera da un Paese con un elevato rischio di contagio è salito leggermente, attestandosi a 3 816, secondo le dichiarazioni di 23 Cantoni e di FL.","Gemäss Meldungen von 24 Kantonen und dem FL befanden sich am 11.05.2021 insgesamt 12 184 Personen in Isolation und 20 136 in Quarantäne. Diese Zahlen sind im Vergleich zur Vorwoche gesunken. Die Anzahl Personen in Quarantäne nach Einreise aus einem Land mit erhöhtem Ansteckungsrisiko ist ebenfalls gesunken auf 3 816, nach Angaben von 23 Kantonen und dem FL.","Gemäss Meldungen von 24 Kantonen und dem FL befanden sich am 11.05.2021 insgesamt 12 184 Personen in Isolation und 20 136 in Quarantäne. Diese Zahlen sind im Vergleich zur Vorwoche gesunken. Die Anzahl Personen in Quarantäne nach Einreise aus einem Land mit erhöhtem Ansteckungsrisiko ist ebenfalls gesunken auf 3 816, nach Angaben von 23 Kantonen und dem FL.",202118,2021-05-12_07-47-53,COVID19WeeklyReportText
cases-summary,"Schweizweit (inkl. FL) wurden für die Berichtswoche 10 317 Fälle gemeldet, gegenüber 11 915 Fällen in der Vorwoche. Die Inzidenz der Fälle ist von 138 pro 100 000 Einwohnerinnen und Einwohner (Einw.) in der Vorwoche auf 119 gesunken (-13 %).","En Suisse et au Liechtenstein, 10 317 cas ont été déclarés pour la semaine sous revue, contre 11 915 pour la semaine précédente. L’incidence des cas a diminué de 138 pour 100 000 habitants durant la semaine précédente à 119 (-13 %).","In tutta la Svizzera (incl. FL) nella settimana in rassegna sono stati dichiarati 10 317 casi, contro gli 11 915 della settimana precedente. L’incidenza dei casi è scesa da 138 ogni 100 000 abitanti nella settimana precedente a 119 (-13 %).","Schweizweit (inkl. FL) wurden für die Berichtswoche 10 317 Fälle gemeldet, gegenüber 11 915 Fällen in der Vorwoche. Die Inzidenz der Fälle ist von 138 pro 100 000 Einwohnerinnen und Einwohner (Einw.) in der Vorwoche auf 119 gesunken (-13 %).","Schweizweit (inkl. FL) wurden für die Berichtswoche 10 317 Fälle gemeldet, gegenüber 11 915 Fällen in der Vorwoche. Die Inzidenz der Fälle ist von 138 pro 100 000 Einwohnerinnen und Einwohner (Einw.) in der Vorwoche auf 119 gesunken (-13 %).",202118,2021-05-12_07-47-53,COVID19WeeklyReportText
cases-geography,Die Inzidenzrate lag in der Berichtswoche in 18 Kantonen bei über 100 Fällen pro 100 000 Einw. und Woche. Insgesamt lag die Inzidenzrate der laborbestätigten Fälle in der Schweiz und in Liechtenstein zwischen 77 Fällen pro 100 000 Einw. und Woche im FL und 343 in UR. In 15 Kantonen und im FL nahm die Inzidenzrate um mehr als 10 % ab. In 10 Kantonen veränderte sich die Inzidenzrate mit ±10 % wenig. Nur in einem kleinen Kanton stieg die Inzidenzrate um mehr als 10 %. In der Mehrheit der Kantone sank die Inzidenzrate der laborbestätigten Fälle pro 100 000 Einw. und Tag über die letzten 4 Wochen tendenziell.,"Pour la semaine sous revue, le taux d’incidence était, pour 100 000 habitants et par semaine, supérieur à 100 cas dans 18 cantons. Le taux d’incidence des cas confirmés en laboratoire en Suisse et au Liechtenstein variait, pour 100 000 habitants et par semaine, entre 77 cas au Liechtenstein et 343 à UR. Dans 15 cantons et au Liechtenstein, le taux d’incidence a diminué de plus de 10 %. Dans 10 cantons, il n’a que peu changé (±10 %). Il a augmenté de plus de 10 % dans un seul petit canton. Dans la majorité des cantons, le taux d’incidence des cas confirmés en laboratoire pour 100 000 habitants et par jour a eu tendance à diminuer durant les quatre dernières semaines.","Nella settimana in rassegna, il tasso di incidenza ha superato i 100 casi alla settimana per 100 000 abitanti in 18 Cantoni. Nel complesso, il tasso di incidenza dei casi confermati in laboratorio in Svizzera e in FL ha oscillato tra i 77 casi alla settimana per 100 000 abitanti in FL e i 343 in UR. In 15 Cantoni e in FL il tasso di incidenza è diminuito di più del 10 %. In 10 Cantoni il tasso di incidenza è variato poco, con un ±10 %. Soltanto in un piccolo Cantone è aumentato di più del 10 %. Il tasso di incidenza dei casi confermati in laboratorio per 100 000 abitanti e per giorno è tendenzialmente sceso nelle ultime 4 settimane nella maggior parte dei Cantoni.",Die Inzidenzrate lag in der Berichtswoche in 18 Kantonen bei über 100 Fällen pro 100 000 Einw. und Woche. Insgesamt lag die Inzidenzrate der laborbestätigten Fälle in der Schweiz und in Liechtenstein zwischen 77 Fällen pro 100 000 Einw. und Woche im FL und 343 in UR. In 15 Kantonen und im FL nahm die Inzidenzrate um mehr als 10 % ab. In 10 Kantonen veränderte sich die Inzidenzrate mit ±10 % wenig. Nur in einem kleinen Kanton stieg die Inzidenzrate um mehr als 10 %. In der Mehrheit der Kantone sank die Inzidenzrate der laborbestätigten Fälle pro 100 000 Einw. und Tag über die letzten 4 Wochen tendenziell.,Die Inzidenzrate lag in der Berichtswoche in 18 Kantonen bei über 100 Fällen pro 100 000 Einw. und Woche. Insgesamt lag die Inzidenzrate der laborbestätigten Fälle in der Schweiz und in Liechtenstein zwischen 77 Fällen pro 100 000 Einw. und Woche im FL und 343 in UR. In 15 Kantonen und im FL nahm die Inzidenzrate um mehr als 10 % ab. In 10 Kantonen veränderte sich die Inzidenzrate mit ±10 % wenig. Nur in einem kleinen Kanton stieg die Inzidenzrate um mehr als 10 %. In der Mehrheit der Kantone sank die Inzidenzrate der laborbestätigten Fälle pro 100 000 Einw. und Tag über die letzten 4 Wochen tendenziell.,202118,2021-05-12_07-47-53,COVID19WeeklyReportText
