sex,geoRegion,datum,entries,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
female,CH,202018,398,16247,0.569,56.89999999999999,4337170,9.18,374.6,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-18,-273,-6.29,-40.7,-0.6000000000000014,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202018,2,21,0.003,0.3,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-18,2,NA,NA,0.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202019,187,13854,0.466,46.6,4268863,4.38,324.54,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-19,-113,-2.65,-37.7,3.700000000000003,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202019,214,16461,0.534,53.400000000000006,4337170,4.93,379.53,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-19,-184,-4.25,-46.2,-3.499999999999986,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202019,0,21,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-19,-2,NA,-100,-0.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202020,115,13969,0.498,49.8,4268863,2.69,327.23,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-20,-72,-1.69,-38.5,3.1999999999999957,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202020,116,16577,0.502,50.2,4337170,2.67,382.21,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-20,-98,-2.26,-45.8,-3.200000000000003,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202020,0,21,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-20,0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202021,72,14041,0.468,46.800000000000004,4268863,1.69,328.92,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-21,-43,-1,-37.4,-2.999999999999993,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202021,81,16658,0.526,52.6,4337170,1.87,384.08,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-21,-35,-0.8,-30.2,2.3999999999999986,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202021,1,22,0.006,0.6,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-21,1,NA,NA,0.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202022,60,14101,0.476,47.599999999999994,4268863,1.41,330.32,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-22,-12,-0.28,-16.7,0.79999999999999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202022,66,16724,0.524,52.400000000000006,4337170,1.52,385.6,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-22,-15,-0.35,-18.5,-0.19999999999999574,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202022,0,22,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-22,-1,NA,-100,-0.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202023,50,14151,0.505,50.5,4268863,1.17,331.49,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-23,-10,-0.24,-16.7,2.9000000000000057,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202023,49,16773,0.495,49.5,4337170,1.13,386.73,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-23,-17,-0.39,-25.8,-2.9000000000000057,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202023,0,22,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-23,0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202024,77,14228,0.55,55.00000000000001,4268863,1.8,333.3,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-24,27,0.63,54,4.500000000000007,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202024,63,16836,0.45,45,4337170,1.45,388.18,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-24,14,0.32,28.6,-4.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202024,0,22,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-24,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202025,80,14308,0.468,46.800000000000004,4268863,1.87,335.17,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-25,3,0.07,3.9,-8.200000000000003,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202025,91,16927,0.532,53.2,4337170,2.1,390.28,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-25,28,0.65,44.4,8.200000000000003,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202025,0,22,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-25,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202026,196,14504,0.549,54.900000000000006,4268863,4.59,339.76,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-26,116,2.72,145,8.100000000000001,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202026,161,17088,0.451,45.1,4337170,3.71,393.99,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-26,70,1.61,76.9,-8.100000000000001,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202026,0,22,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-26,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202027,377,14881,0.551,55.1,4268863,8.83,348.59,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-27,181,4.24,92.3,0.19999999999999574,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202027,307,17395,0.449,44.9,4337170,7.08,401.07,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-27,146,3.37,90.7,-0.20000000000000284,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202027,0,22,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-27,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202028,348,15229,0.548,54.800000000000004,4268863,8.15,356.75,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-28,-29,-0.68,-7.7,-0.29999999999999716,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202028,286,17681,0.45,45,4337170,6.59,407.66,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-28,-21,-0.49,-6.8,0.10000000000000142,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202028,1,23,0.002,0.2,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-28,1,NA,NA,0.2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202029,381,15610,0.533,53.300000000000004,4268863,8.93,365.67,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-29,33,0.78,9.5,-1.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202029,334,18015,0.467,46.7,4337170,7.7,415.36,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-29,48,1.11,16.8,1.7000000000000028,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202029,0,23,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-29,-1,NA,-100,-0.2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202030,411,16021,0.498,49.8,4268863,9.63,375.3,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-30,30,0.7,7.9,-3.500000000000007,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202030,415,18430,0.502,50.2,4337170,9.57,424.93,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-30,81,1.87,24.3,3.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202030,0,23,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-30,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202031,607,16628,0.526,52.6,4268863,14.22,389.52,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-31,196,4.59,47.7,2.8000000000000043,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202031,548,18978,0.474,47.4,4337170,12.63,437.57,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-31,133,3.06,32,-2.8000000000000043,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202031,0,23,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-31,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202032,567,17195,0.515,51.5,4268863,13.28,402.8,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-32,-40,-0.94,-6.6,-1.1000000000000014,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202032,533,19511,0.485,48.5,4337170,12.29,449.86,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-32,-15,-0.34,-2.7,1.1000000000000014,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202032,0,23,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-32,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202033,807,18002,0.513,51.300000000000004,4268863,18.9,421.7,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-33,240,5.62,42.3,-0.19999999999999574,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202033,766,20277,0.487,48.699999999999996,4337170,17.66,467.52,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-33,233,5.37,43.7,0.19999999999999574,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202033,1,24,0.001,0.1,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-33,1,NA,NA,0.1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202034,1003,19005,0.541,54.1,4268863,23.5,445.2,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-34,196,4.6,24.3,2.799999999999997,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202034,852,21129,0.459,45.9,4337170,19.64,487.16,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-34,86,1.98,11.2,-2.799999999999997,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202034,0,24,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-34,-1,NA,-100,-0.1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202035,1077,20082,0.515,51.5,4268863,25.23,470.43,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-35,74,1.73,7.4,-2.6000000000000014,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202035,1013,22142,0.484,48.4,4337170,23.36,510.52,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-35,161,3.72,18.9,2.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202035,2,26,0.001,0.1,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-35,2,NA,NA,0.1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202036,1265,21347,0.515,51.5,4268863,29.63,500.06,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-36,188,4.4,17.5,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202036,1191,23333,0.485,48.5,4337170,27.46,537.98,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-36,178,4.1,17.6,0.10000000000000142,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202036,0,26,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-36,-2,NA,-100,-0.1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202037,1412,22759,0.494,49.4,4268863,33.08,533.14,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-37,147,3.45,11.6,-2.1000000000000014,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202037,1447,24780,0.506,50.6,4337170,33.36,571.34,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-37,256,5.9,21.5,2.1000000000000014,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202037,1,27,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-37,1,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202038,1490,24249,0.513,51.300000000000004,4268863,34.9,568.04,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-38,78,1.82,5.5,1.9000000000000057,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202038,1415,26195,0.487,48.699999999999996,4337170,32.62,603.97,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-38,-32,-0.74,-2.2,-1.9000000000000057,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202038,0,27,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-38,-1,NA,-100,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202039,1093,25342,0.492,49.2,4268863,25.6,593.65,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-39,-397,-9.3,-26.6,-2.1000000000000014,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CH,202039,1126,27321,0.507,50.7,4337170,25.96,629.93,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-39,-289,-6.66,-20.4,2.000000000000007,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202039,1,28,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-39,1,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202040,1851,27193,0.535,53.5,4268863,43.36,637.01,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-40,758,17.76,69.4,4.299999999999997,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,CH,202040,1611,28932,0.465,46.5,4337170,37.14,667.07,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-40,485,11.18,43.1,-4.200000000000003,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
unknown,CH,202040,1,29,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-40,0,NA,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,CH,202041,4548,31741,0.52,52,4268863,106.54,743.55,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-41,2697,63.18,145.7,-1.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,CH,202041,4200,33132,0.48,48,4337170,96.84,763.91,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-41,2589,59.7,160.7,1.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
unknown,CH,202041,3,32,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-41,2,NA,200,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,CH,202042,9830,41571,0.505,50.5,4268863,230.27,973.82,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-42,5282,123.73,116.1,-1.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,CH,202042,9647,42779,0.495,49.5,4337170,222.43,986.33,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-42,5447,125.59,129.7,1.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
unknown,CH,202042,3,35,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-42,0,NA,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,CH,202043,19791,61362,0.499,49.9,4268863,463.61,1437.43,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-43,9961,233.34,101.3,-0.6000000000000014,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,CH,202043,19877,62656,0.501,50.1,4337170,458.29,1444.63,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-43,10230,235.86,106,0.6000000000000014,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
unknown,CH,202043,3,38,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-43,0,NA,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,CH,202044,27000,88362,0.484,48.4,4268863,632.49,2069.92,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-44,7209,168.88,36.4,-1.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,CH,202044,28820,91476,0.516,51.6,4337170,664.49,2109.12,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-44,8943,206.2,45,1.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
unknown,CH,202044,7,45,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-44,4,NA,133.3,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,CH,202045,24283,112645,0.474,47.4,4268863,568.84,2638.76,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-45,-2717,-63.65,-10.1,-1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,CH,202045,26902,118378,0.526,52.6,4337170,620.27,2729.38,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-45,-1918,-44.22,-6.7,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
unknown,CH,202045,5,50,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-45,-2,NA,-28.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,CH,202046,18398,131043,0.465,46.5,4268863,430.98,3069.74,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-46,-5885,-137.86,-24.2,-0.8999999999999986,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,CH,202046,21172,139550,0.535,53.5,4337170,488.15,3217.54,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-46,-5730,-132.12,-21.3,0.8999999999999986,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
unknown,CH,202046,13,63,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-46,8,NA,160,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,CH,202047,13973,145016,0.464,46.400000000000006,4268863,327.32,3397.06,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-47,-4425,-103.66,-24.1,-0.09999999999999432,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,CH,202047,16139,155689,0.536,53.6,4337170,372.11,3589.64,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-47,-5033,-116.04,-23.8,0.10000000000000142,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
unknown,CH,202047,1,64,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-47,-12,NA,-92.3,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,CH,202048,12113,157129,0.462,46.2,4268863,283.75,3680.82,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-48,-1860,-43.57,-13.3,-0.20000000000000284,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,CH,202048,14069,169758,0.537,53.7,4337170,324.38,3914.03,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-48,-2070,-47.73,-12.8,0.10000000000000142,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
unknown,CH,202048,12,76,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-48,11,NA,1100,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,CH,202049,12493,169622,0.458,45.800000000000004,4268863,292.65,3973.47,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-49,380,8.9,3.1,-0.3999999999999986,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
